Question,Answer
Можно ли сомещать обучение в магистратуре с работой?,Совмещать обучение в магистратуре с работой можно. Занятия в магистратуре проводятся по вечерам и в субботу. Также часть курсов проходит в онлайн.
Сколько семестров учиться в магистратуре?,Длительность обучения зависит от выбранного направления и формы обучения. Весь перечень направлений подготовки для приема в магистратуру вы найдете на сайте https://magister.urfu.ru/ru/programs/
Сколько длится обучение на очке?,Длительность обучения зависит от выбранного направления и формы обучения. Весь перечень направлений подготовки для приема в магистратуру вы найдете на сайте https://magister.urfu.ru/ru/programs/
Сколько длится обучение на заочке?,Длительность обучения зависит от выбранного направления и формы обучения. Весь перечень направлений подготовки для приема в магистратуру вы найдете на сайте https://magister.urfu.ru/ru/programs/
Сколько длится обучение в магистратуре?,Длительность обучения зависит от выбранного направления и формы обучения. Весь перечень направлений подготовки для приема в магистратуру вы найдете на сайте https://magister.urfu.ru/ru/programs/
Какие есть формы обучения в магистратуре?,"В магистратуре есть три формы обучения: очная, заочная и очно-заочная. Весь перечень направлений подготовки для приема в магистратуру вы найдете на сайте https://magister.urfu.ru/ru/programs/"
В магистратуре только очка?,"Нет, в магистратуре есть три формы обучения: очная, заочная и очно-заочная. Весь перечень направлений подготовки для приема в магистратуру вы найдете на сайте https://magister.urfu.ru/ru/programs/"
Есть заочка в магистратуре?,"Да, в магистратуре есть три формы обучения: очная, заочная и очно-заочная. Весь перечень направлений подготовки для приема в магистратуру вы найдете на сайте https://magister.urfu.ru/ru/programs/"
"Есть ли заочные направления в магистратуре? ","Да, в магистратуре есть три формы обучения: очная, заочная и очно-заочная. Весь перечень направлений подготовки для приема в магистратуру вы найдете на сайте https://magister.urfu.ru/ru/programs/"
Можно учиться на заочке в магистратуре?,"Да, в магистратуре есть три формы обучения: очная, заочная и очно-заочная. Весь перечень направлений подготовки для приема в магистратуру вы найдете на сайте https://magister.urfu.ru/ru/programs/"
Где найти все варианты магистратуры УрФУ?,Весь перечень направлений подготовки для приема в магистратуру вы найдете на сайте https://magister.urfu.ru/ru/programs/
Есть ли список всех направлений магистратуры?,Весь перечень направлений подготовки для приема в магистратуру вы найдете на сайте https://magister.urfu.ru/ru/programs/
Где найти все варианты магистратуры УрФУ?,Весь перечень направлений подготовки для приема в магистратуру вы найдете на сайте https://magister.urfu.ru/ru/programs/
Какие есть направления магистратуры УрФУ?,Весь перечень направлений подготовки для приема в магистратуру вы найдете на сайте https://magister.urfu.ru/ru/programs/
Буду ли я успевать учиться после работы?,Совмещать обучение в магистратуре с работой можно. Занятия в магистратуре проводятся по вечерам и в субботу. Также часть курсов проходит в онлайн.
"Я сейчас работаю, можно ли поступать в магистратуру?",Совмещать обучение в магистратуре с работой можно. Занятия в магистратуре проводятся по вечерам и в субботу. Также часть курсов проходит в онлайн.
Сколько раз в неделю нужно приезжать в университет студентам магистратуры?,Обычно приезжать нужно два-три раза в неделю вечером или в субботу.
"Какое расписание в магистратуре? ",Занятия в магистратуре проводятся по вечерам и в субботу (обычно приезжать в университет нужно два-три раза в неделю). Также часть курсов проходит в онлайн.
Учёба проходит онлайн или офлайн?,Занятия в магистратуре проводятся по вечерам и в субботу (обычно приезжать в университет нужно два-три раза в неделю). Также часть курсов проходит в онлайн.
Нужно ли ездить в институт?,Обычно приезжать нужно два-три раза в неделю вечером или в субботу.
Можно ли поступать не по своему основному образованию?,"Да, поступать можно на любое направление, для этого необходимо подать документы в приемную комиссию и успешно пройти вступительное испытание."
Направление магистратуры и балакавриата должны быть одинаковые?,"Нет, поступать можно на любое направление, для этого необходимо подать документы в приемную комиссию и успешно пройти вступительное испытание."
Направление магистратуры и балакавриата могут отличаться?,"Да, поступать можно на любое направление, для этого необходимо подать документы в приемную комиссию и успешно пройти вступительное испытание."
"Если в бакалавриате я учился на другом направлении, могу ли я поступить в новую для меня магистратуру?","Да, поступать можно на любое направление, для этого необходимо подать документы в приемную комиссию и успешно пройти вступительное испытание."
Кто может поступать в магистратуру?,"Вы можете поступать в магистратуру, если у вас имеется диплом о высшем образовании бакалавриата или специалитета."
Когда вступительный экзамен?,В календаре приёма магистратуру вы можете найти период сдачи вступительного испытания. Вы можете выбрать любой удобный день из указанного промежутка для прохождения испытания https://magister.urfu.ru/ru/documents/kalendar-priema/.
Где расписание вступительных экзаменов?,В календаре приёма магистратуру вы можете найти период сдачи вступительного испытания. Вы можете выбрать любой удобный день из указанного промежутка для прохождения испытания https://magister.urfu.ru/ru/documents/kalendar-priema/.
Где найти календарь экзаменов?,В календаре приёма магистратуру вы можете найти период сдачи вступительного испытания. Вы можете выбрать любой удобный день из указанного промежутка для прохождения испытания https://magister.urfu.ru/ru/documents/kalendar-priema/.
Когда вступительное испытание?,В календаре приёма магистратуру вы можете найти период сдачи вступительного испытания. Вы можете выбрать любой удобный день из указанного промежутка для прохождения испытания https://magister.urfu.ru/ru/documents/kalendar-priema/.
Как проходит вступительное испытание?,"Вступительное испытание проходит онлайн, более подробно с правилами проведения экзамена можно ознакомиться тут https://magister.urfu.ru/fileadmin/user_upload/site_15406/2021/vstupitelnye/Pravila_VI_magistratura_31_05_2021.pdf"
"Нужно ли приезжать в университет, чтобы сдать вступительный экзамен?","Вступительное испытание проходит онлайн, более подробно с правилами проведения экзамена можно ознакомиться тут https://magister.urfu.ru/fileadmin/user_upload/site_15406/2021/vstupitelnye/Pravila_VI_magistratura_31_05_2021.pdf"
Вступительные экзамены онлайн или оффлайн?,"Вступительное испытание проходит онлайн, более подробно с правилами проведения экзамена можно ознакомиться тут https://magister.urfu.ru/fileadmin/user_upload/site_15406/2021/vstupitelnye/Pravila_VI_magistratura_31_05_2021.pdf"
